400
400
400
395;5
386;11;3
346;51;3
374;25;1
341;49;10
346;40;14
368;26;5;1
356;6;30;6;2
327;28;36;8;1
284;82;11;21;2
311;5;77;1;5;1
367;22;11
389;8;3
380;12;8
390;2;1;6;1
369;12;1;18
364;15;21
